sku,name,category,cost_price,quantity,amazon_price,flipkart_price,meesho_price
WH-1000XM5,Sony WH-1000XM5 Headphones,Electronics,15000,200,24990,23999,22500
IP-15-CASE,iPhone 15 Silicone Case,Accessories,200,500,599,549,449
SAM-S24,Samsung Galaxy S24 Cover,Accessories,250,400,699,649,499
BOAT-AIRDOPES,boAt Airdopes 441,Electronics,800,300,1499,1399,1199
MI-BAND-8,Xiaomi Mi Band 8,Electronics,1200,250,2499,2399,2199
NOISE-WATCH,Noise ColorFit Pro 5,Electronics,1500,180,2999,2799,2599
JBL-GO3,JBL Go 3 Speaker,Electronics,2000,150,3499,3299,2999
PUMA-TSHIRT,Puma Essential T-Shirt,Fashion,400,600,899,849,699
NIKE-SHOES,Nike Revolution 6,Footwear,2500,120,4999,4799,4499
ADIDAS-CAP,Adidas Baseball Cap,Fashion,350,400,799,749,599
LEVI-JEANS,Levi's 511 Slim Jeans,Fashion,1200,250,2499,2399,2099
PRESTIGE-PAN,Prestige Omega Pan,Kitchen,600,300,1199,1099,999
PIGEON-KETTLE,Pigeon Electric Kettle,Kitchen,450,350,899,849,749
BAJAJ-MIXER,Bajaj Mixer Grinder,Kitchen,1800,100,3499,3299,2999
MOKOBARA-BAG,Mokobara Transit Backpack,Travel,1500,200,2999,2799,2599
BOAT-ROCKERZ,boAt Rockerz 450,Electronics,700,400,1299,1199,999
ONEPLUS-BUDS,OnePlus Nord Buds 2,Electronics,1000,300,1999,1899,1799
CAMPUS-SHOES,Campus Running Shoes,Footwear,800,500,1599,1499,1299
MILTON-BOTTLE,Milton Thermosteel Bottle,Kitchen,500,450,999,899,799
FASTRACK-WATCH,Fastrack Reflex 3.0,Electronics,1100,200,2199,1999,1799
